Month,SilverPrice,GoldPrice
1-Mar-97,186.48,12619.24
1-Apr-97,170.65,12338.59
1-May-97,170.44,12314.94
1-Jun-97,169.96,12202.78
1-Jul-97,155.8,11582.07
1-Aug-97,162.16,11640.38
1-Sep-97,172.13,11755.57
1-Oct-97,181.57,11769.89
1-Nov-97,187.99,11370.19
1-Dec-97,224.16,11324.79
1-Jan-98,230.08,11378.25
1-Feb-98,261.75,11576.23
1-Mar-98,243.81,11690.84
1-Apr-98,249.37,12225.02
1-May-98,225.54,12075.24
1-Jun-98,222.24,12349.86
1-Jul-98,232.46,12450.03
1-Aug-98,220.73,12142.73
1-Sep-98,213.74,12287.69
1-Oct-98,211.8,12531.16
1-Nov-98,211.21,12463.97
1-Dec-98,207.96,12412.18
1-Jan-99,219.44,12203.2
1-Feb-99,235.52,12203.06
1-Mar-99,220.61,12135.19
1-Apr-99,217.57,12075.25
1-May-99,226.61,11823.6
1-Jun-99,219.02,11272.2
1-Jul-99,226.31,11084.77
1-Aug-99,230.06,11155.98
1-Sep-99,229.82,11526.3
1-Oct-99,235.38,13502.09
1-Nov-99,225.32,12723.39
1-Dec-99,226.61,12309.24
1-Jan-00,227.98,12382.68
1-Feb-00,231,13077.75
1-Mar-00,222.37,12483.33
1-Apr-00,222.72,12205.39
1-May-00,221.88,12100.23
1-Jun-00,225.78,12769.55
1-Jul-00,224.71,12609.06
1-Aug-00,225.15,12541.03
1-Sep-00,226.92,12558.9
1-Oct-00,226.27,12515.53
1-Nov-00,220.78,12444.55
1-Dec-00,218.04,12690.44
1-Jan-22,218.83,12355.9
1-Feb-22,212.75,12181.9
1-Mar-22,205.1,12262.59
1-Apr-22,205.51,12186.79
1-May-22,208.12,12778.39
1-Jun-22,205.32,12702.23
1-Jul-22,200.56,12611.85
1-Aug-22,198.27,12836.74
1-Sep-22,209.25,13503.83
1-Oct-22,212.19,13592.68
1-Nov-22,197.92,13254.95
1-Dec-22,209.23,13217.92
2-Jan-22,217.59,13606.99
2-Feb-22,216.57,14388.34
2-Mar-22,222.74,14332.32
2-Apr-22,225.27,14806.95
2-May-22,232.04,15410.01
2-Jun-22,240.95,15725.33
2-Jul-22,241.17,15277.25
2-Aug-22,221.65,15075.69
2-Sep-22,222.55,15459.5
2-Oct-22,213.93,15311.83
2-Nov-22,219.02,15396.81
2-Dec-22,224.21,15977.8
3-Jan-22,232.76,17104.25
3-Feb-22,223.45,17135.72
3-Mar-22,216.64,16224.16
3-Apr-22,214.92,15548.35
3-May-22,223.78,16746.68
3-Jun-22,212.87,16649.12
3-Jul-22,224.92,16229.25
3-Aug-22,231.01,16526.12
3-Sep-22,238.71,17374.81
3-Oct-22,228.73,17199.35
3-Nov-22,236.99,17748.7
3-Dec-22,257.74,18553.38
4-Jan-22,289.57,18806.25
4-Feb-22,293.23,18329.5
4-Mar-22,328.37,18306.02
4-Apr-22,311.3,17716.56
4-May-22,266.05,17362.97
4-Jun-22,267.81,17859.21
4-Jul-22,293.55,18329.56
4-Aug-22,311.06,18560.59
4-Sep-22,295.92,18682.41
4-Oct-22,327.21,19250.39
4-Nov-22,338.98,19821.18
4-Dec-22,313.33,19442.83
5-Jan-22,291.23,18554.21
5-Feb-22,308.92,18490.66
5-Mar-22,317.53,18954.91
5-Apr-22,313.07,18775.16
5-May-22,306.74,18347.86
5-Jun-22,319.76,18770.58
5-Jul-22,306.68,18480.7
5-Aug-22,306.57,19105.09
5-Sep-22,315.91,20028.03
5-Oct-22,345.09,21062
5-Nov-22,359.58,21796.08
5-Dec-22,396.65,23290.06
6-Jan-22,407.79,24413.14
6-Feb-22,422.09,24603.51
6-Mar-22,461.44,24776.99
6-Apr-22,567.78,27448.49
6-May-22,607.5,30668.98
6-Jun-22,496.21,27455.73
6-Jul-22,520.88,29439.75
6-Aug-22,570.29,29440.3
6-Sep-22,534.97,27588.91
6-Oct-22,528.14,26634.49
6-Nov-22,582.45,28162.44
6-Dec-22,593.56,28110.41
7-Jan-22,570.48,27985.57
7-Feb-22,615.88,29356.7
7-Mar-22,579.5,28832.08
7-Apr-22,578.83,28636.08
7-May-22,537.93,27220.91
7-Jun-22,536.2,26726.01
7-Jul-22,522.76,26892.24
7-Aug-22,503.37,27160.49
7-Sep-22,521.56,28748.42
7-Oct-22,542.19,29816.8
7-Nov-22,578.66,31798.42
7-Dec-22,564.48,31678.33
