PositionID,Position
1,Accountant I
2,Administrative Assistant
3,Area Sales Manager
4,BI Developer
5,BI Director
6,CIO
7,Data Architect
8,Database Administrator
9,Data Analyst
9,Data Analyst 
10,Director of Operations
11,Director of Sales
12,IT Director
13,IT Manager - DB
13,IT Manager - Infra
13,IT Manager - Support
14,IT Support
15,Network Engineer
16,President & CEO
17,Production Manager
18,Production Manager
19,Production Technician I
20,Production Technician II
21,Sales Manager
22,Senior BI Developer
23,Shared Services Manager
24,Software Engineer
25,Software Engineering Manager
26,Sr. Accountant
27,Sr. DBA
30,Enterprise Architect
29,Principal Data Architect
28,Sr. Network Engineer
