"Start"	"Stop"	"Duration"	"Note"
" Nov 29 11:25"	" Nov 29 12:35"	"1 hr 10 mins"	""
" Nov 29 09:01"	" Nov 29 09:51"	"50 mins"	""
" Nov 28 21:00"	" Nov 29 07:30"	"10 hrs 30 mins"	""
" Nov 28 18:29"	" Nov 28 20:01"	"1 hr 33 mins"	""
" Nov 28 18:16"	" Nov 28 18:19"	"4 mins"	""
" Nov 28 17:31"	" Nov 28 17:41"	"10 mins"	""
" Nov 28 10:53"	" Nov 28 13:11"	"2 hrs 19 mins"	""
" Nov 28 09:02"	" Nov 28 09:35"	"34 mins"	""
" Nov 27 20:24"	" Nov 28 07:35"	"11 hrs 12 mins"	""
" Nov 27 16:23"	" Nov 27 17:40"	"1 hr 17 mins"	""
" Nov 27 12:59"	" Nov 27 14:45"	"1 hr 47 mins"	""
" Nov 27 09:22"	" Nov 27 09:53"	"31 mins"	""
" Nov 26 20:45"	" Nov 27 07:45"	"11 hrs"	""
" Nov 26 18:32"	" Nov 26 18:52"	"20 mins"	""
" Nov 26 16:30"	" Nov 26 17:00"	"30 mins"	""
" Nov 26 11:20"	" Nov 26 14:37"	"3 hrs 18 mins"	""
" Nov 25 20:32"	" Nov 26 06:45"	"10 hrs 13 mins"	""
" Nov 25 14:16"	" Nov 25 17:37"	"3 hrs 21 mins"	""
" Nov 25 12:30"	" Nov 25 13:00"	"30 mins"	""
" Nov 25 10:08"	" Nov 25 10:38"	"31 mins"	""
" Nov 24 21:00"	" Nov 25 07:00"	"10 hrs"	""
" Nov 24 16:04"	" Nov 24 17:02"	"59 mins"	""
" Nov 24 13:57"	" Nov 24 14:46"	"49 mins"	""
" Nov 24 11:00"	" Nov 24 12:00"	"1 hr"	""
" Nov 24 09:30"	" Nov 24 10:00"	"30 mins"	""
" Nov 23 20:02"	" Nov 24 07:02"	"11 hrs"	""
" Nov 23 15:43"	" Nov 23 17:30"	"1 hr 47 mins"	""
" Nov 23 14:30"	" Nov 23 14:45"	"15 mins"	""
" Nov 23 12:20"	" Nov 23 12:45"	"25 mins"	""
" Nov 23 10:30"	" Nov 23 11:00"	"30 mins"	""
" Nov 23 09:25"	" Nov 23 09:33"	"8 mins"	""
" Nov 22 21:00"	" Nov 23 07:44"	"10 hrs 44 mins"	""
" Nov 22 18:30"	" Nov 22 19:16"	"46 mins"	""
" Nov 22 15:25"	" Nov 22 17:13"	"1 hr 48 mins"	""
" Nov 22 12:20"	" Nov 22 13:20"	"1 hr"	""
" Nov 22 08:10"	" Nov 22 08:56"	"46 mins"	""
" Nov 21 20:59"	" Nov 22 07:02"	"10 hrs 3 mins"	""
" Nov 21 17:05"	" Nov 21 17:29"	"25 mins"	""
" Nov 21 13:24"	" Nov 21 15:31"	"2 hrs 7 mins"	""
" Nov 21 10:59"	" Nov 21 11:59"	"1 hr"	""
" Nov 21 09:00"	" Nov 21 09:44"	"44 mins"	""
" Nov 20 20:37"	" Nov 21 07:45"	"11 hrs 8 mins"	""
" Nov 20 17:18"	" Nov 20 18:31"	"1 hr 14 mins"	""
" Nov 20 15:00"	" Nov 20 15:18"	"18 mins"	""
" Nov 20 10:30"	" Nov 20 13:05"	"2 hrs 36 mins"	""
" Nov 20 08:45"	" Nov 20 09:15"	"30 mins"	""
" Nov 19 21:05"	" Nov 20 07:08"	"10 hrs 3 mins"	""
" Nov 19 19:00"	" Nov 19 19:30"	"30 mins"	""
" Nov 19 15:12"	" Nov 19 17:15"	"2 hrs 3 mins"	""
" Nov 19 10:20"	" Nov 19 12:45"	"2 hrs 25 mins"	""
" Nov 19 08:36"	" Nov 19 09:12"	"36 mins"	""
" Nov 18 21:00"	" Nov 19 06:59"	"9 hrs 59 mins"	""
" Nov 18 18:29"	" Nov 18 18:59"	"30 mins"	""
" Nov 18 16:56"	" Nov 18 17:19"	"24 mins"	""
" Nov 18 15:16"	" Nov 18 15:38"	"22 mins"	""
" Nov 18 10:50"	" Nov 18 12:40"	"1 hr 51 mins"	""
" Nov 18 09:32"	" Nov 18 09:41"	"10 mins"	""
" Nov 17 21:00"	" Nov 18 07:53"	"10 hrs 53 mins"	""
" Nov 17 17:58"	" Nov 17 18:18"	"20 mins"	""
" Nov 17 16:00"	" Nov 17 16:45"	"45 mins"	""
" Nov 17 13:40"	" Nov 17 14:24"	"44 mins"	""
" Nov 17 09:47"	" Nov 17 11:34"	"1 hr 47 mins"	""
" Nov 16 20:01"	" Nov 17 07:22"	"11 hrs 21 mins"	""
" Nov 16 12:49"	" Nov 16 14:49"	"1 hr 60 mins"	""
" Nov 16 09:19"	" Nov 16 11:24"	"2 hrs 6 mins"	""
" Nov 15 21:20"	" Nov 16 07:10"	"9 hrs 50 mins"	""
" Nov 15 18:45"	" Nov 15 19:15"	"30 mins"	""
" Nov 15 16:57"	" Nov 15 17:17"	"20 mins"	""
" Nov 15 14:42"	" Nov 15 15:23"	"42 mins"	""
" Nov 15 10:30"	" Nov 15 13:00"	"2 hrs 30 mins"	""
" Nov 15 09:00"	" Nov 15 09:50"	"50 mins"	""
" Nov 14 21:00"	" Nov 15 07:00"	"10 hrs"	""
" Nov 14 13:48"	" Nov 14 14:24"	"37 mins"	""
" Nov 14 10:53"	" Nov 14 12:16"	"1 hr 24 mins"	""
" Nov 14 08:45"	" Nov 14 09:20"	"35 mins"	""
" Nov 13 21:33"	" Nov 14 06:59"	"9 hrs 26 mins"	""
" Nov 13 18:44"	" Nov 13 19:19"	"35 mins"	""
" Nov 13 11:09"	" Nov 13 14:23"	"3 hrs 14 mins"	""
" Nov 13 09:00"	" Nov 13 10:00"	"1 hr"	""
" Nov 12 21:46"	" Nov 13 07:55"	"10 hrs 9 mins"	""
" Nov 12 19:21"	" Nov 12 19:32"	"11 mins"	""
" Nov 12 16:28"	" Nov 12 17:54"	"1 hr 26 mins"	""
" Nov 12 14:14"	" Nov 12 15:00"	"46 mins"	""
" Nov 12 11:30"	" Nov 12 12:00"	"30 mins"	""
" Nov 12 09:30"	" Nov 12 10:30"	"1 hr"	""
" Nov 11 20:26"	" Nov 12 07:14"	"10 hrs 48 mins"	""
" Nov 11 15:49"	" Nov 11 16:20"	"32 mins"	""
" Nov 11 13:31"	" Nov 11 14:06"	"36 mins"	""
" Nov 11 11:07"	" Nov 11 11:51"	"44 mins"	""
" Nov 11 09:20"	" Nov 11 09:58"	"38 mins"	""
" Nov 10 20:49"	" Nov 11 08:01"	"11 hrs 13 mins"	""
" Nov 10 18:06"	" Nov 10 18:11"	"6 mins"	""
" Nov 10 14:00"	" Nov 10 16:01"	"2 hrs 1 min"	""
" Nov 10 11:39"	" Nov 10 12:09"	"30 mins"	""
" Nov 10 09:00"	" Nov 10 09:50"	"50 mins"	""
" Nov 09 20:23"	" Nov 10 07:42"	"11 hrs 20 mins"	""
" Nov 09 17:19"	" Nov 09 18:43"	"1 hr 24 mins"	""
" Nov 09 15:30"	" Nov 09 16:00"	"30 mins"	""
" Nov 09 13:40"	" Nov 09 14:20"	"40 mins"	""
" Nov 09 11:00"	" Nov 09 12:10"	"1 hr 10 mins"	""
" Nov 09 09:00"	" Nov 09 09:30"	"30 mins"	""
" Nov 08 20:10"	" Nov 09 07:42"	"11 hrs 33 mins"	""
" Nov 08 16:02"	" Nov 08 16:43"	"42 mins"	""
" Nov 08 14:30"	" Nov 08 15:00"	"30 mins"	""
" Nov 08 10:26"	" Nov 08 13:03"	"2 hrs 38 mins"	""
" Nov 08 08:43"	" Nov 08 09:28"	"45 mins"	""
" Nov 07 20:26"	" Nov 08 07:23"	"10 hrs 58 mins"	""
" Nov 07 14:30"	" Nov 07 17:00"	"2 hrs 30 mins"	""
" Nov 07 11:13"	" Nov 07 12:41"	"1 hr 28 mins"	""
" Nov 07 08:42"	" Nov 07 09:49"	"1 hr 8 mins"	""
" Nov 06 22:07"	" Nov 07 07:32"	"9 hrs 25 mins"	""
" Nov 06 17:05"	" Nov 06 17:26"	"22 mins"	""
" Nov 06 12:11"	" Nov 06 14:38"	"2 hrs 28 mins"	""
" Nov 06 10:21"	" Nov 06 11:27"	"1 hr 6 mins"	""
" Nov 06 09:11"	" Nov 06 09:46"	"36 mins"	""
" Nov 05 22:37"	" Nov 06 07:48"	"9 hrs 12 mins"	""
" Nov 05 16:17"	" Nov 05 18:53"	"2 hrs 37 mins"	""
" Nov 05 14:04"	" Nov 05 14:24"	"21 mins"	""
" Nov 05 11:14"	" Nov 05 12:29"	"1 hr 15 mins"	""
" Nov 05 09:15"	" Nov 05 09:56"	"42 mins"	""
" Nov 04 22:48"	" Nov 05 07:41"	"8 hrs 54 mins"	""
" Nov 04 19:19"	" Nov 04 20:23"	"1 hr 5 mins"	""
" Nov 04 17:30"	" Nov 04 17:58"	"28 mins"	""
" Nov 04 15:27"	" Nov 04 16:04"	"38 mins"	""
" Nov 04 11:10"	" Nov 04 13:40"	"2 hrs 30 mins"	""
" Nov 04 10:59"	" Nov 04 11:01"	"2 mins"	""
" Nov 03 21:00"	" Nov 04 07:55"	"10 hrs 55 mins"	""
" Nov 03 18:00"	" Nov 03 20:02"	"2 hrs 2 mins"	""
" Nov 03 12:15"	" Nov 03 14:25"	"2 hrs 10 mins"	""
" Nov 03 10:19"	" Nov 03 11:08"	"49 mins"	""
" Nov 03 07:00"	" Nov 03 08:01"	"1 hr 1 min"	""
" Nov 03 05:45"	" Nov 03 06:50"	"1 hr 5 mins"	""
" Nov 02 20:30"	" Nov 03 05:00"	"8 hrs 30 mins"	""
" Nov 02 14:05"	" Nov 02 16:14"	"2 hrs 9 mins"	""
" Nov 02 12:00"	" Nov 02 12:30"	"30 mins"	""
" Nov 02 09:59"	" Nov 02 10:41"	"42 mins"	""
" Nov 02 08:44"	" Nov 02 09:07"	"24 mins"	""
" Nov 01 21:20"	" Nov 02 07:00"	"9 hrs 40 mins"	""
" Nov 01 18:03"	" Nov 01 19:03"	"1 hr"	""
" Nov 01 14:03"	" Nov 01 15:30"	"1 hr 27 mins"	""
" Nov 01 10:00"	" Nov 01 11:00"	"1 hr"	""
" Nov 01 08:07"	" Nov 01 08:42"	"36 mins"	""
" Nov 01 03:05"	" Nov 01 07:12"	"4 hrs 8 mins"	""
" Oct 31 20:03"	" Nov 01 02:31"	"6 hrs 29 mins"	""
" Oct 31 12:39"	" Oct 31 15:33"	"2 hrs 54 mins"	""
" Oct 31 11:00"	" Oct 31 11:40"	"40 mins"	""
" Oct 31 09:17"	" Oct 31 09:51"	"34 mins"	""
" Oct 31 03:30"	" Oct 31 07:18"	"3 hrs 48 mins"	""
" Oct 30 21:17"	" Oct 31 03:53"	"6 hrs 37 mins"	""
" Oct 30 18:47"	" Oct 30 20:17"	"1 hr 30 mins"	""
" Oct 30 14:00"	" Oct 30 15:00"	"1 hr"	""
" Oct 30 10:00"	" Oct 30 12:30"	"2 hrs 30 mins"	""
" Oct 30 08:00"	" Oct 30 09:00"	"1 hr"	""
" Oct 30 04:46"	" Oct 30 07:15"	"2 hrs 29 mins"	""
" Oct 30 01:09"	" Oct 30 03:39"	"2 hrs 31 mins"	""
" Oct 29 21:14"	" Oct 30 00:57"	"3 hrs 43 mins"	""
" Oct 29 16:46"	" Oct 29 18:52"	"2 hrs 6 mins"	""
" Oct 29 15:32"	" Oct 29 16:31"	"59 mins"	""
" Oct 29 10:09"	" Oct 29 13:13"	"3 hrs 4 mins"	""
" Oct 29 05:29"	" Oct 29 07:28"	"1 hr 60 mins"	""
" Oct 29 02:24"	" Oct 29 05:09"	"2 hrs 45 mins"	""
" Oct 28 23:20"	" Oct 29 02:11"	"2 hrs 51 mins"	""
" Oct 28 20:00"	" Oct 28 22:48"	"2 hrs 49 mins"	""
" Oct 28 13:00"	" Oct 28 14:00"	"1 hr"	""
" Oct 28 09:27"	" Oct 28 09:57"	"30 mins"	""
" Oct 28 05:11"	" Oct 28 08:08"	"2 hrs 57 mins"	""
" Oct 28 02:37"	" Oct 28 04:55"	"2 hrs 19 mins"	""
" Oct 27 22:30"	" Oct 28 02:11"	"3 hrs 41 mins"	""
" Oct 27 21:22"	" Oct 27 21:52"	"30 mins"	""
" Oct 27 20:15"	" Oct 27 20:30"	"15 mins"	""
" Oct 27 19:00"	" Oct 27 19:30"	"30 mins"	""
" Oct 27 16:51"	" Oct 27 17:18"	"27 mins"	""
" Oct 27 13:15"	" Oct 27 13:45"	"30 mins"	""
" Oct 27 06:45"	" Oct 27 09:44"	"2 hrs 59 mins"	""
" Oct 27 04:40"	" Oct 27 05:49"	"1 hr 9 mins"	""
" Oct 27 02:00"	" Oct 27 03:51"	"1 hr 51 mins"	""
" Oct 26 21:45"	" Oct 27 01:15"	"3 hrs 30 mins"	""
" Oct 26 18:27"	" Oct 26 20:06"	"1 hr 40 mins"	""
" Oct 26 17:06"	" Oct 26 17:45"	"39 mins"	""
" Oct 26 16:29"	" Oct 26 16:55"	"27 mins"	""
" Oct 26 11:35"	" Oct 26 13:35"	"2 hrs"	""
" Oct 26 10:08"	" Oct 26 10:52"	"45 mins"	""
" Oct 26 06:18"	" Oct 26 07:26"	"1 hr 8 mins"	""
" Oct 26 03:00"	" Oct 26 05:34"	"2 hrs 34 mins"	""
" Oct 26 01:28"	" Oct 26 02:38"	"1 hr 10 mins"	""
" Oct 25 20:00"	" Oct 26 01:00"	"5 hrs"	""
" Oct 25 17:15"	" Oct 25 17:45"	"30 mins"	""
" Oct 25 12:56"	" Oct 25 14:24"	"1 hr 28 mins"	""
" Oct 25 10:52"	" Oct 25 12:00"	"1 hr 8 mins"	""
" Oct 25 09:40"	" Oct 25 10:49"	"1 hr 9 mins"	""
" Oct 25 06:28"	" Oct 25 06:31"	"3 mins"	""
" Oct 25 02:13"	" Oct 25 06:11"	"3 hrs 58 mins"	""
" Oct 24 22:10"	" Oct 25 01:39"	"3 hrs 29 mins"	""
" Oct 24 20:33"	" Oct 24 20:48"	"15 mins"	""
" Oct 24 17:00"	" Oct 24 18:00"	"1 hr"	""
" Oct 24 13:50"	" Oct 24 14:45"	"55 mins"	""
" Oct 24 10:43"	" Oct 24 11:11"	"29 mins"	""
" Oct 24 06:34"	" Oct 24 09:23"	"2 hrs 50 mins"	""
" Oct 24 02:11"	" Oct 24 05:26"	"3 hrs 15 mins"	""
" Oct 23 20:20"	" Oct 24 01:06"	"4 hrs 46 mins"	""
" Oct 23 12:20"	" Oct 23 17:01"	"4 hrs 42 mins"	""
" Oct 23 11:23"	" Oct 23 11:28"	"5 mins"	""
" Oct 23 05:33"	" Oct 23 07:12"	"1 hr 39 mins"	""
" Oct 23 02:27"	" Oct 23 04:52"	"2 hrs 25 mins"	""
" Oct 22 22:00"	" Oct 23 02:00"	"4 hrs"	""
" Oct 22 19:30"	" Oct 22 20:15"	"45 mins"	""
" Oct 22 17:00"	" Oct 22 19:01"	"2 hrs 1 min"	""
" Oct 22 15:00"	" Oct 22 16:00"	"1 hr"	""
" Oct 22 14:00"	" Oct 22 14:30"	"30 mins"	""
" Oct 22 11:35"	" Oct 22 12:00"	"25 mins"	""
" Oct 22 09:53"	" Oct 22 10:30"	"38 mins"	""
" Oct 22 06:19"	" Oct 22 07:26"	"1 hr 7 mins"	""
" Oct 22 04:12"	" Oct 22 05:54"	"1 hr 42 mins"	""
