"faa","name","lat","lon","alt","tz","dst","tzone"
"AAF","Apalachicola Regional Airport",29.72750092,-85.02749634,20,-5,"A","America/New_York"
"AAP","Andrau Airpark",29.7224998474,-95.5883026123,79,-6,"A","America/Chicago"
"ABE","Lehigh Valley International Airport",40.652099609375,-75.440803527832,393,-5,"A","America/New_York"
"ABI","Abilene Regional Airport",32.4113006592,-99.6819000244,1791,-6,"A","America/Chicago"
"ABL","Ambler Airport",67.1063,-157.856989,334,-9,"A","America/Anchorage"
"ABQ","Albuquerque International Sunport",35.040199,-106.609001,5355,-7,"A","America/Denver"
"ABR","Aberdeen Regional Airport",45.4491004943848,-98.4217987060547,1302,-6,"A","America/Chicago"
"ABY","Southwest Georgia Regional Airport",31.5354995727539,-84.1945037841797,197,-5,"A","America/New_York"
"ACK","Nantucket Memorial Airport",41.25310135,-70.06020355,47,-5,"A","America/New_York"
"ACT","Waco Regional Airport",31.6112995147705,-97.2304992675781,516,-6,"A","America/Chicago"
"ACV","California Redwood Coast-Humboldt County Airport",40.978101,-124.109,221,-8,"A","America/Los_Angeles"
"ACY","Atlantic City International Airport",39.4575996398926,-74.5772018432617,75,-5,"A","America/New_York"
"ADK","Adak Airport",51.8779983520508,-176.64599609375,18,-10,"A","America/Adak"
"ADM","Ardmore Municipal Airport",34.30301,-97.0196342,777,-6,"A","America/Chicago"
"ADQ","Kodiak Airport",57.75,-152.4940033,78,-9,"A","America/Anchorage"
"ADS","Addison Airport",32.9686012268,-96.8364028931,644,-6,"A","America/Chicago"
"ADT","Ada Regional Airport",34.804298,-96.671303,1016,-6,"A","America/Chicago"
"ADW","Joint Base Andrews",38.810799,-76.866997,280,-5,"A","America/New_York"
"AET","Allakaket Airport",66.5518035889,-152.621994019,441,-9,"A","America/Anchorage"
"AEX","Alexandria International Airport",31.3274002075195,-92.5497970581055,89,-6,"A","America/Chicago"
"AFW","Fort Worth Alliance Airport",32.9875984192,-97.3188018799,722,-6,"A","America/Chicago"
"AGC","Allegheny County Airport",40.3544006347656,-79.9301986694336,1252,-5,"A","America/New_York"
"AGN","Angoon Seaplane Base",57.503601,-134.585007,0,-9,"A","America/Anchorage"
"AGS","Augusta Regional At Bush Field",33.3698997497559,-81.9645004272461,144,-5,"A","America/New_York"
"AHN","Athens Ben Epps Airport",33.948600769043,-83.326301574707,808,-5,"A","America/New_York"
"AIA","Alliance Municipal Airport",42.0531997681,-102.804000854,3931,-7,"A","America/Denver"
"AID","Anderson Municipal Darlington Field",40.1086006165,-85.6129989624,919,-4,"A",NA
"AIK","Aiken Regional Airport",33.649399,-81.684998,528,-5,"A","America/New_York"
"AIN","Wainwright Airport",70.6380004883,-159.994995117,41,-9,"A","America/Anchorage"
"AIZ","Lee C Fine Memorial Airport",38.0960006714,-92.5494995117,869,-6,"A","America/Chicago"
"AKB","Atka Airport",52.22029877,-174.2059937,57,-10,"A","America/Adak"
"AKC","Akron Fulton International Airport",41.0374984741,-81.4669036865,1067,-5,"A","America/New_York"
"AKI","Akiak Airport",60.9029006958,-161.231002808,30,-9,"A","America/Anchorage"
"AKK","Akhiok Airport",56.9387016296,-154.182998657,44,-9,"A","America/Anchorage"
"AKN","King Salmon Airport",58.67679977,-156.6490021,73,-9,"A","America/Anchorage"
"AKO","Colorado Plains Regional Airport",40.1755981445,-103.222000122,4714,-7,"A","America/Denver"
"AKP","Anaktuvuk Pass Airport",68.13359833,-151.7429962,2102,-9,"A","America/Anchorage"
"ALB","Albany International Airport",42.7482986450195,-73.8016967773438,285,-5,"A","America/New_York"
"ALE","Alpine Casparis Municipal Airport",30.3841991425,-103.683998108,4515,-5,"A",NA
"ALI","Alice International Airport",27.7409000397,-98.0269012451,178,-6,"A","America/Chicago"
"ALM","Alamogordo White Sands Regional Airport",32.8399009705,-105.990997314,4200,-7,"A","America/Denver"
"ALN","St Louis Regional Airport",38.8903007507,-90.0459976196,544,NA,NA,NA
"ALO","Waterloo Regional Airport",42.5570983886719,-92.4002990722656,873,-6,"A","America/Chicago"
