city_id,city,country_id,last_update
1,A Corua (La Corua),87,15-02-06 4:45
2,Abha,82,15-02-06 4:45
3,Abu Dhabi,101,15-02-06 4:45
4,Acua,60,15-02-06 4:45
5,Adana,97,15-02-06 4:45
6,Addis Abeba,31,15-02-06 4:45
7,Aden,107,15-02-06 4:45
8,Adoni,44,15-02-06 4:45
9,Ahmadnagar,44,15-02-06 4:45
10,Akishima,50,15-02-06 4:45
11,Akron,103,15-02-06 4:45
12,al-Ayn,101,15-02-06 4:45
13,al-Hawiya,82,15-02-06 4:45
14,al-Manama,11,15-02-06 4:45
15,al-Qadarif,89,15-02-06 4:45
16,al-Qatif,82,15-02-06 4:45
17,Alessandria,49,15-02-06 4:45
18,Allappuzha (Alleppey),44,15-02-06 4:45
19,Allende,60,15-02-06 4:45
20,Almirante Brown,6,15-02-06 4:45
21,Alvorada,15,15-02-06 4:45
22,Ambattur,44,15-02-06 4:45
23,Amersfoort,67,15-02-06 4:45
24,Amroha,44,15-02-06 4:45
25,Angra dos Reis,15,15-02-06 4:45
26,Anpolis,15,15-02-06 4:45
27,Antofagasta,22,15-02-06 4:45
28,Aparecida de Goinia,15,15-02-06 4:45
29,Apeldoorn,67,15-02-06 4:45
30,Araatuba,15,15-02-06 4:45
31,Arak,46,15-02-06 4:45
32,Arecibo,77,15-02-06 4:45
33,Arlington,103,15-02-06 4:45
34,Ashdod,48,15-02-06 4:45
35,Ashgabat,98,15-02-06 4:45
36,Ashqelon,48,15-02-06 4:45
37,Asuncin,73,15-02-06 4:45
38,Athenai,39,15-02-06 4:45
39,Atinsk,80,15-02-06 4:45
40,Atlixco,60,15-02-06 4:45
41,Augusta-Richmond County,103,15-02-06 4:45
42,Aurora,103,15-02-06 4:45
43,Avellaneda,6,15-02-06 4:45
44,Bag,15,15-02-06 4:45
45,Baha Blanca,6,15-02-06 4:45
46,Baicheng,23,15-02-06 4:45
47,Baiyin,23,15-02-06 4:45
48,Baku,10,15-02-06 4:45
49,Balaiha,80,15-02-06 4:45
50,Balikesir,97,15-02-06 4:45
